,addresses
2585,"1440 EAST 105 STREET,BROOKLYN,NY"
2586,"37 PAERDEGAT SIXTH ST,BROOKLYN,NY"
2587,"1119 EAST 80 STREET,BROOKLYN,NY"
2588,"3 PAERDEGAT 11TH STREE,BROOKLYN,NY"
2589,"24 PAERDEGAT 12 STREET,BROOKLYN,NY"
2590,"18 PAERDEGAT 14 STREET,BROOKLYN,NY"
2591,"27 PAERDEGAT 15 STREET,BROOKLYN,NY"
2592,"987 EAST 92,BROOKLYN,NY"
2593,"945 EAST 98TH,BROOKLYN,NY"
2594,"972 EAST 88 STREET,BROOKLYN,NY"
2595,"1236 EAST 80 STREET,BROOKLYN,NY"
2596,"1230 EAST 82 STREET,BROOKLYN,NY"
2597,"1212 EAST 82 STREET,BROOKLYN,NY"
2598,"1227 EAST 80 STREET,BROOKLYN,NY"
2599,"1233 EAST 95 STREET,BROOKLYN,NY"
2600,"918 EAST 106 STREET,BROOKLYN,NY"
2601,"918 EAST 106 STREET,BROOKLYN,NY"
2602,"918 EAST 106 STREET,BROOKLYN,NY"
2603,"920 EAST 106 STREET,BROOKLYN,NY"
2604,"907 EAST 106 STREET,BROOKLYN,NY"
2605,"9002-9012 AVENUE A,BROOKLYN,NY"
2606,"52 2 PLACE,BROOKLYN,NY"
2607,"7A 2 PLACE,BROOKLYN,NY"
2608,"10 THIRD PLACE,BROOKLYN,NY"
2609,"86A THIRD PLACE,BROOKLYN,NY"
2610,"46 2 PLACE,BROOKLYN,NY"
2611,"92 2 PLACE,BROOKLYN,NY"
2612,"377 DE GRAW STREET,BROOKLYN,NY"
2613,"50 1 PLACE,BROOKLYN,NY"
2614,"92 FIRST PLACE,BROOKLYN,NY"
2615,"117 3 PLACE,BROOKLYN,NY"
2616,"1 FIRST PLACE,BROOKLYN,NY"
2617,"1 FIRST PLACE,BROOKLYN,NY"
2618,"350 DE GRAW STREET,BROOKLYN,NY"
2619,"24 3 STREET,BROOKLYN,NY"
2620,"185 ST. JAMES,BROOKLYN,NY"
2621,"192 DE GRAW STREET,BROOKLYN,NY"
2622,"192 DE GRAW STREET,BROOKLYN,NY"
2623,"2699 WEST 36 STREET,BROOKLYN,NY"
2624,"2819 WEST 27 STREET,BROOKLYN,NY"
2625,"2932 WEST 5 STREET,BROOKLYN,NY"
2626,"2928 WEST 5 STREET,BROOKLYN,NY"
2627,"2928 WEST 5 STREET,BROOKLYN,NY"
2628,"2932 WEST 5 STREET,BROOKLYN,NY"
2629,"2932 WEST 5 STREET,BROOKLYN,NY"
2630,"2940 WEST 5 STREET,BROOKLYN,NY"
2631,"2942 WEST 5 STREET,BROOKLYN,NY"
2632,"2944 W 5 ST,BROOKLYN,NY"
2633,"2944 WEST 5 STREET,BROOKLYN,NY"
2634,"2944 WEST 5 STREET,BROOKLYN,NY"
2635,"2942 WEST 5 STREET,BROOKLYN,NY"
2636,"2942 WEST 5 STREET,BROOKLYN,NY"
2637,"2944 WEST 5 STREET,BROOKLYN,NY"
2638,"2935 WEST 5 STREET,BROOKLYN,NY"
2639,"2909 WEST 17TH,BROOKLYN,NY"
2640,"3003 WEST 21 STREET,BROOKLYN,NY"
2641,"840-50 ST. MARKS AVENUE,BROOKLYN,NY"
2642,"382-390 EASTERN PARKWAY,BROOKLYN,NY"
2643,"382-390 EASTERN PARKWAY,BROOKLYN,NY"
2644,"382-390 EASTERN PARKWAY,BROOKLYN,NY"
2645,"382-390 EASTERN PARKWAY,BROOKLYN,NY"
2646,"382-390 EASTERN PARKWAY,BROOKLYN,NY"
2647,"382-390 EASTERN PARKWAY,BROOKLYN,NY"
2648,"382-390 EASTERN PARKWAY,BROOKLYN,NY"
2649,"656-670 GRAND AVENUE,BROOKLYN,NY"
2650,"137 SHEPHARD AVENUE,BROOKLYN,NY"
2651,"167 SAND STREET,BROOKLYN,NY"
2652,"7720 TENTH AVENUE,BROOKLYN,NY"
2653,"1061 80 STREET,BROOKLYN,NY"
2654,"7812 13 AVENUE,BROOKLYN,NY"
2655,"1356 65 STREET,BROOKLYN,NY"
2656,"6609 FORT HAMILTON PARKWA,BROOKLYN,NY"
2657,"1105 73 ST,BROOKLYN,NY"
2658,"8103 11 AVE,BROOKLYN,NY"
2659,"384 CHESTNUT COURT,BROOKLYN,NY"
2660,"6 MC CLANCY PLACE,BROOKLYN,NY"
2661,"6 MC CLANCY PLACE,BROOKLYN,NY"
2662,"295 SCHENK AVENUE,BROOKLYN,NY"
2663,"24 EAST 19 STREET,BROOKLYN,NY"
2664,"431 EAST 19 STREET,BROOKLYN,NY"
2665,"22 DE KOVEN COURT,BROOKLYN,NY"
2666,"2716 ALBERMARLE RD,BROOKLYN,NY"
2667,"155 EAST 29 STREET,BROOKLYN,NY"
2668,"617 E. 21 STREET,BROOKLYN,NY"
2669,"2022 BEVERLY ROAD,BROOKLYN,NY"
2670,"221 EAST 18 STREET,BROOKLYN,NY"
2671,"400 EAST 17 STREET,BROOKLYN,NY"
2672,"385 EAST 18 STREET,BROOKLYN,NY"
2673,"601 EAST 19 STREET,BROOKLYN,NY"
2674,"657 E. 26,BROOKLYN,NY"
2675,"1172-1182 FLATBUSH AVENUE,BROOKLYN,NY"
2676,"1172-1182 FLATBUSH AVENUE,BROOKLYN,NY"
2677,"463 EAST 54 STREET,BROOKLYN,NY"
2678,"4722 BEVERLY ROAD,BROOKLYN,NY"
2679,"729 EAST 51  STREET,BROOKLYN,NY"
2680,"450 EAST 43 STREET,BROOKLYN,NY"
2681,"954 EAST 45 STREET,BROOKLYN,NY"
2682,"568 E 31 STREET,BROOKLYN,NY"
2683,"1150 EAST 34 STREET,BROOKLYN,NY"
2684,"1298 EAST 34 STREET,BROOKLYN,NY"
2685,"1342 EAST 37 STREET,BROOKLYN,NY"
2686,"1400 EAST 34 STREET,BROOKLYN,NY"
2687,"1092 EAST 43 STREET,BROOKLYN,NY"
2688,"176 EAST 55 STREET,BROOKLYN,NY"
2689,"5409 BEVERLY ROAD,BROOKLYN,NY"
2690,"208 EAST 42 STREET,BROOKLYN,NY"
2691,"3121 BEVERLY ROAD,BROOKLYN,NY"
2692,"3311 BEVERLY ROAD,BROOKLYN,NY"
2693,"3411 BEVERLY ROAD,BROOKLYN,NY"
2694,"442 EAST 35 STREET,BROOKLYN,NY"
2695,"718 EAST 45 STREET,BROOKLYN,NY"
2696,"682 EAST 42 STREET,BROOKLYN,NY"
2697,"769 EAST 35 STREET,BROOKLYN,NY"
2698,"769 EAST 35,BROOKLYN,NY"
2699,"762 EAST 32 STREET,BROOKLYN,NY"
2700,"524 EAST 45TH,BROOKLYN,NY"
2701,"181 E 32 ST,BROOKLYN,NY"
2702,"390 E 35 ST,BROOKLYN,NY"
2703,"370 E32ND STREET,BROOKLYN,NY"
2704,"5216 BEVERLY ROAD,BROOKLYN,NY"
2705,"720 EAST 31 STREET,BROOKLYN,NY"
2706,"720 EAST 31 STREET,BROOKLYN,NY"
2707,"1584-1592 FLATBUSH AVENUE,BROOKLYN,NY"
2708,"77 EAST 54 STREET,BROOKLYN,NY"
2709,"274 EAST 52 STREET,BROOKLYN,NY"
2710,"382 E 91 ST,BROOKLYN,NY"
2711,"92 EAST 46,BROOKLYN,NY"
2712,"54 EAST 40 STREET,BROOKLYN,NY"
2713,"111 EAST 54 STREET,BROOKLYN,NY"
2714,"62 EAST 57 STREET,BROOKLYN,NY"
2715,"90 E 52 STREET,BROOKLYN,NY"
2716,"144 EAST 93 STREET,BROOKLYN,NY"
2717,"250 EAST 94 STREET,BROOKLYN,NY"
2718,"331 EAST 93 STREET,BROOKLYN,NY"
2719,"484 EAST 98 STREET,BROOKLYN,NY"
2720,"88 EAST 42 STREET,BROOKLYN,NY"
2721,"1177 EAST 49 STREET,BROOKLYN,NY"
2722,"1343 EAST 40 STREET,BROOKLYN,NY"
2723,"989 EAST 53 STREET,BROOKLYN,NY"
2724,"1220 EAST 56 STREET,BROOKLYN,NY"
2725,"1270 EAST 51 STREET,BROOKLYN,NY"
2726,"1200 EAST 53 STREET,BROOKLYN,NY"
2727,"1200 EAST 53 STREET,BROOKLYN,NY"
2728,"1200 EAST 53 STREET,BROOKLYN,NY"
2729,"1963-1971 FLATBUSH AVENUE,BROOKLYN,NY"
2730,"121 SO ELLIOTT PLACE,BROOKLYN,NY"
2731,"35 SOUTH PORTLAND,BROOKLYN,NY"
2732,"21 SOUTH PORTLAND AVENU,BROOKLYN,NY"
2733,"19 HYMEN COURT,BROOKLYN,NY"
2734,"451 DE GRAW STREET,BROOKLYN,NY"
2735,"449 DE GRAW STREET,BROOKLYN,NY"
2736,"470 DE GRAW STREET,BROOKLYN,NY"
2737,"138 8 STREET,BROOKLYN,NY"
2738,"595 THIRD AVENUE,BROOKLYN,NY"
2739,"297 THIRD AVENUE,BROOKLYN,NY"
2740,"233 9 STREET,BROOKLYN,NY"
2741,"107 3 STREET,BROOKLYN,NY"
2742,"111 3 STREET,BROOKLYN,NY"
2743,"111 THIRD STREET,BROOKLYN,NY"
2744,"251 7 STREET,BROOKLYN,NY"
2745,"251 7 STREET,BROOKLYN,NY"
2746,"14 4 STREET,BROOKLYN,NY"
2747,"186 8 STREET,BROOKLYN,NY"
2748,"186 8 STREET,BROOKLYN,NY"
2749,"123 3 STREET,BROOKLYN,NY"
2750,"251 7 STREET,BROOKLYN,NY"
2751,"1556 WEST 1 STREET,BROOKLYN,NY"
2752,"1760 WEST 9 STREET,BROOKLYN,NY"
2753,"196 BAY 34 STREET,BROOKLYN,NY"
2754,"2452 MC DONALD AVENUE,BROOKLYN,NY"
2755,"8784 26 AVENUE,BROOKLYN,NY"
2756,"1966 WEST 8TH,BROOKLYN,NY"
2757,"2047 WEST 13 STREET,BROOKLYN,NY"
2758,"1757 WEST 2 STREET,BROOKLYN,NY"
2759,"82 BAY 40 STREET,BROOKLYN,NY"
2760,"163 BAY 47 STREET,BROOKLYN,NY"
2761,"159 BAY 35TH,BROOKLYN,NY"
2762,"171 BAY 52 STREET,BROOKLYN,NY"
2763,"2475 WEST 16 STREET,BROOKLYN,NY"
2764,"2483 WEST 16 STREET,BROOKLYN,NY"
2765,"1828 MC DONALD AVENUE,BROOKLYN,NY"
2766,"183 MC GUINNESS BLVD,BROOKLYN,NY"
2767,"151 MC GUINNESS BLVD,BROOKLYN,NY"
2768,"6331/2 LEONARD STREET,BROOKLYN,NY"
2769,"81 MC GUINNESS BLVD,BROOKLYN,NY"
2770,"344 MC GUINNESS BLVD,BROOKLYN,NY"
2771,"145 MC GUINNESS BOULEVAR,BROOKLYN,NY"
2772,"7 NORTH 15 STREET,BROOKLYN,NY"
2773,"NORTH 15 STREET,BROOKLYN,NY"
2774,"303 BEVERLY RD,BROOKLYN,NY"
2775,"415 BEVERLY ROAD,BROOKLYN,NY"
2776,"415 BEVERLY ROAD,BROOKLYN,NY"
2777,"415 BEVERLY ROAD,BROOKLYN,NY"
2778,"415 BEVERLY ROAD,BROOKLYN,NY"
2779,"414-426 CHURCH AVENUE,BROOKLYN,NY"
2780,"1619 E 23 ST,BROOKLYN,NY"
2781,"1824 EAST 24,BROOKLYN,NY"
2782,"1938 EAST 19,BROOKLYN,NY"
2783,"1814 EAST 29 STREET,BROOKLYN,NY"
2784,"1812 EAST 18 STREET,BROOKLYN,NY"
2785,"1750 EAST 14 STREET,BROOKLYN,NY"
2786,"1855 EAST 12 STREET,BROOKLYN,NY"
2787,"1855 EAST 12 STREET,BROOKLYN,NY"
2788,"3178 NOSTRAND AVENU,BROOKLYN,NY"
2789,"1576 EAST 37 STREET,BROOKLYN,NY"
2790,"1616 EAST 32 STREET,BROOKLYN,NY"
2791,"1651 EAST 35 STREET,BROOKLYN,NY"
2792,"1651 EAST 35,BROOKLYN,NY"
2793,"1727 EAST 36 STREET,BROOKLYN,NY"
2794,"1966 EAST 34 STREET,BROOKLYN,NY"
2795,"1917 EAST 35 STREET,BROOKLYN,NY"
2796,"1929 EAST 36 STREET,BROOKLYN,NY"
2797,"2161 EAST 36 STREET,BROOKLYN,NY"
2798,"2235 EAST 38 STREET,BROOKLYN,NY"
2799,"1652 EAST 32 STREET,BROOKLYN,NY"
2800,"1573 EAST 22 STREET,BROOKLYN,NY"
2801,"1145 EAST 21 STREET,BROOKLYN,NY"
2802,"1372 EAST 24,BROOKLYN,NY"
2803,"1369 EAST 29 STREET,BROOKLYN,NY"
2804,"1422 EAST 29 STREET,BROOKLYN,NY"
2805,"961 EAST 18,BROOKLYN,NY"
2806,"1133 EAST 15 STREET,BROOKLYN,NY"
2807,"947 EAST 27,BROOKLYN,NY"
2808,"830 EAST 14 STREET,BROOKLYN,NY"
2809,"829 EAST 14 STREET,BROOKLYN,NY"
2810,"1472 EAST 15 STREET,BROOKLYN,NY"
2811,"1289 EAST 19,BROOKLYN,NY"
2812,"1580 EAST 13 STREET,BROOKLYN,NY"
2813,"1560 EAST 18 STREET,BROOKLYN,NY"
2814,"1625 EAST 13 STREET,BROOKLYN,NY"
2815,"909 EAST 29 STREET,BROOKLYN,NY"
2816,"870 EAST 16 STREET,BROOKLYN,NY"
2817,"16 HARBOR DRIVE,BROOKLYN,NY"
2818,"466 MAYFAIR DRIVE,BROOKLYN,NY"
2819,"366 MAYFAIR DRIVE,BROOKLYN,NY"
2820,"2242 E 66TH,BROOKLYN,NY"
2821,"2603 E64 STREET,BROOKLYN,NY"
2822,"2407 EAST 63RD,BROOKLYN,NY"
2823,"612 MAYFAIR DRIVE,BROOKLYN,NY"
2824,"45NORTH ELLIOTT PLACE,BROOKLYN,NY"
2825,"707 MAC DONOUGH STREET,BROOKLYN,NY"
2826,"122 THOMAS BOYLAND STREE,BROOKLYN,NY"
2827,"268 MAC DOUGAL STREET,BROOKLYN,NY"
2828,"1557 EASTERN PARKWAY,BROOKLYN,NY"
2829,"703 MAC DONOUGH STREET,BROOKLYN,NY"
2830,"758 MAC DONOUGH STREET,BROOKLYN,NY"
2831,"726 EAST 9,BROOKLYN,NY"
2832,"1072 EAST 2 STREET,BROOKLYN,NY"
2833,"1705 EAST 7TH,BROOKLYN,NY"
2834,"350 E 8 ST,BROOKLYN,NY"
2835,"1324 E 7,BROOKLYN,NY"
2836,"1789 MC DONALD AVENUE,BROOKLYN,NY"
2837,"787 EAST 10 STREET,BROOKLYN,NY"
2838,"310 BEVERLY ROAD,BROOKLYN,NY"
2839,"310 BEVERLY ROAD,BROOKLYN,NY"
2840,"515 EAST 7TH,BROOKLYN,NY"
2841,"515 EAST 7TH,BROOKLYN,NY"
2842,"759 EAST 10 STREET,BROOKLYN,NY"
2843,"930 EAST 7 STREET,BROOKLYN,NY"
2844,"1683 MC DONALD AVENUE,BROOKLYN,NY"
2845,"1896 EAST 7,BROOKLYN,NY"
2846,"921 FIRST COURT,BROOKLYN,NY"
2847,"2034 EAST 5 STREET,BROOKLYN,NY"
2848,"2257 MACDONALD AVENUE,BROOKLYN,NY"
2849,"2276 W 1 STREET,BROOKLYN,NY"
2850,"2 ANGELA DRIVE,BROOKLYN,NY"
2851,"2416 EAST 7 STREET,BROOKLYN,NY"
2852,"2415 EAST 7TH,BROOKLYN,NY"
2853,"2035 EAST 7TH,BROOKLYN,NY"
2854,"2547 WEST 2 STREET,BROOKLYN,NY"
2855,"2552 E 7 STREET,BROOKLYN,NY"
2856,"2553 EAST 7 STREET,BROOKLYN,NY"
2857,"2531 EAST 7 STREET,BROOKLYN,NY"
2858,"702 KATHLEEN PLACE,BROOKLYN,NY"
2859,"702 KATHLEEN PLACE,BROOKLYN,NY"
2860,"2675 EAST SEVENTH ST,BROOKLYN,NY"
2861,"2685 EAST 7 STREET,BROOKLYN,NY"
2862,"2359 MC DONALD AVENUE,BROOKLYN,NY"
2863,"2503 MC DONALD AVENUE,BROOKLYN,NY"
2864,"1243 EAST 57 STREET,BROOKLYN,NY"
2865,"1408 EAST 56 STREET,BROOKLYN,NY"
2866,"1515 EAST 56 STREET,BROOKLYN,NY"
2867,"1627 EAST 56TH STRET,BROOKLYN,NY"
2868,"2053 EAST 64 STREET,BROOKLYN,NY"
2869,"2039 EAST 65 STREET,BROOKLYN,NY"
2870,"1736 EAST 54 STREET,BROOKLYN,NY"
2871,"2009 EAST 53 PLACE,BROOKLYN,NY"
2872,"1614 EAST 55 STREET,BROOKLYN,NY"
2873,"2063 EAST 56 ST,BROOKLYN,NY"
2874,"2012 EAST 52 STREET,BROOKLYN,NY"
2875,"2046 EAST 54 STREET,BROOKLYN,NY"
2876,"2015 EAST 56 STREET,BROOKLYN,NY"
2877,"2050 EAST 59 STREET,BROOKLYN,NY"
2878,"277 FIRST STREET,BROOKLYN,NY"
2879,"419 1 STREET,BROOKLYN,NY"
2880,"546 FOURTH STREET,BROOKLYN,NY"
2881,"643 DE GRAW STREET,BROOKLYN,NY"
2882,"371 1 STREET,BROOKLYN,NY"
2883,"365 2 STREET,BROOKLYN,NY"
2884,"321 SEVENTH STREET,BROOKLYN,NY"
2885,"394 6 STREET,BROOKLYN,NY"
2886,"308 7 STREET,BROOKLYN,NY"
2887,"253 8 STREET,BROOKLYN,NY"
2888,"374A 8 STREET,BROOKLYN,NY"
2889,"34 EIGHTH AVENUE,BROOKLYN,NY"
2890,"503 1 STREET,BROOKLYN,NY"
2891,"507 THIRD STREET,BROOKLYN,NY"
2892,"634 THIRD STREET,BROOKLYN,NY"
2893,"602 6 STREET,BROOKLYN,NY"
2894,"452 8 STREET,BROOKLYN,NY"
2895,"113 ST. JOHN,BROOKLYN,NY"
2896,"226 SIXTH AVENUE,BROOKLYN,NY"
2897,"369 7 STREET,BROOKLYN,NY"
2898,"494 7 STREET,BROOKLYN,NY"
2899,"667 DE GRAW STREET,BROOKLYN,NY"
2900,"253 8 STREET,BROOKLYN,NY"
2901,"160 SIXTH AVENUE,BROOKLYN,NY"
2902,"179A 4 AVENUE,BROOKLYN,NY"
2903,"179A 4 AVENUE,BROOKLYN,NY"
2904,"423 3 STREET,BROOKLYN,NY"
2905,"445 FIRST STREET,BROOKLYN,NY"
2906,"305 FIFTH AVENUE,BROOKLYN,NY"
2907,"421 THIRD STREET,BROOKLYN,NY"
2908,"403 THIRD STREET,BROOKLYN,NY"
2909,"433 THIRD STREET,BROOKLYN,NY"
2910,"307 SIXTH AVENUE,BROOKLYN,NY"
2911,"437 THIRD STREET,BROOKLYN,NY"
2912,"488 THIRD STREET,BROOKLYN,NY"
2913,"490 THIRD STREET,BROOKLYN,NY"
2914,"270 FIFTH STREET,BROOKLYN,NY"
2915,"363 7 STREET,BROOKLYN,NY"
2916,"363 SEVENTH STREET,BROOKLYN,NY"
2917,"392 EIGHTH STREET,BROOKLYN,NY"
2918,"22 EIGHTH AVENUE,BROOKLYN,NY"
2919,"85 EIGHTH AVENUE,BROOKLYN,NY"
2920,"530 FOURTH STREET,BROOKLYN,NY"
2921,"576 FIFTH STREET,BROOKLYN,NY"
2922,"708 EIGHTH AVENUE,BROOKLYN,NY"
2923,"541 8 STREET,BROOKLYN,NY"
2924,"1 PLAZA STREET,BROOKLYN,NY"
2925,"1 PLAZA STREET,BROOKLYN,NY"
2926,"25 PLAZA STREET,BROOKLYN,NY"
2927,"47 PLAZA STREET,BROOKLYN,NY"
2928,"90 EIGHTH AVENUE,BROOKLYN,NY"
2929,"118 EIGHTH AVENUE,BROOKLYN,NY"
2930,"44 PROSPECT WEST,BROOKLYN,NY"
2931,"300 EIGHTH AVENUE,BROOKLYN,NY"
2932,"310 2 STREET,BROOKLYN,NY"
2933,"570 7 STREET,BROOKLYN,NY"
2934,"251 1 STREET,BROOKLYN,NY"
2935,"251 1 STREET,BROOKLYN,NY"
2936,"251 1 STREET,BROOKLYN,NY"
2937,"251 1 STREET,BROOKLYN,NY"
2938,"251 1 STREET,BROOKLYN,NY"
2939,"251 1 STREET,BROOKLYN,NY"
2940,"251 1 STREET,BROOKLYN,NY"
2941,"251 1 STREET,BROOKLYN,NY"
2942,"251 1 STREET,BROOKLYN,NY"
2943,"251 1 STREET,BROOKLYN,NY"
2944,"251 1 STREET,BROOKLYN,NY"
2945,"251 1 STREET,BROOKLYN,NY"
2946,"251 1 STREET,BROOKLYN,NY"
2947,"251 1 STREET,BROOKLYN,NY"
2948,"251 1 STREET,BROOKLYN,NY"
2949,"251 1 STREET,BROOKLYN,NY"
2950,"251 1 STREET,BROOKLYN,NY"
2951,"251 1 STREET,BROOKLYN,NY"
2952,"251 1 STREET,BROOKLYN,NY"
2953,"251 1 STREET,BROOKLYN,NY"
2954,"251 1 STREET,BROOKLYN,NY"
2955,"251 1 STREET,BROOKLYN,NY"
2956,"251 1 STREET,BROOKLYN,NY"
2957,"251 1 STREET,BROOKLYN,NY"
2958,"251 1 STREET,BROOKLYN,NY"
2959,"251 1 STREET,BROOKLYN,NY"
2960,"251 1 STREET,BROOKLYN,NY"
2961,"251 1 STREET,BROOKLYN,NY"
2962,"251 1 STREET,BROOKLYN,NY"
2963,"251 1 STREET,BROOKLYN,NY"
2964,"251 1 STREET,BROOKLYN,NY"
2965,"251 1 STREET,BROOKLYN,NY"
2966,"251 1 STREET,BROOKLYN,NY"
2967,"354 2 STREET,BROOKLYN,NY"
2968,"353 3 STREET,BROOKLYN,NY"
2969,"302 SECOND STREET,BROOKLYN,NY"
2970,"76 FIFTH AVENUE,BROOKLYN,NY"
2971,"165A FOURTH AVENUE,BROOKLYN,NY"
2972,"153 SEVENTH AVENUE,BROOKLYN,NY"
2973,"267 1 STREET,BROOKLYN,NY"
2974,"261 1 STREET,BROOKLYN,NY"
2975,"270 1 STREET,BROOKLYN,NY"
2976,"392 3 STREET,BROOKLYN,NY"
2977,"432 THIRD STREET,BROOKLYN,NY"
2978,"567 8 STREET,BROOKLYN,NY"
2979,"360A 9 STREET,BROOKLYN,NY"
2980,"463 SIXTH AVENUE,BROOKLYN,NY"
2981,"212 16 STREET,BROOKLYN,NY"
2982,"198-210 16TH   STREET,BROOKLYN,NY"
2983,"198-210 16TH   STREET,BROOKLYN,NY"
2984,"356 12 STREET,BROOKLYN,NY"
2985,"231 16 STREET,BROOKLYN,NY"
2986,"198-210 16TH   STREET,BROOKLYN,NY"
2987,"630 BERGEN STRET,BROOKLYN,NY"
2988,"10 PLAZA STREET,BROOKLYN,NY"
2989,"20 PLAZA STREET,BROOKLYN,NY"
2990,"34 PLAZA STREET,BROOKLYN,NY"
2991,"3729 POLAR STREET,BROOKLYN,NY"
2992,"3753 POLAR STREET,BROOKLYN,NY"
2993,"3706 POLAR STREET,BROOKLYN,NY"
2994,"BEACH 50 STREET,BROOKLYN,NY"
2995,"2296 E 16 STREET,BROOKLYN,NY"
2996,"2564 EAST 28 STREET,BROOKLYN,NY"
2997,"2634 EAST 19 STREET,BROOKLYN,NY"
2998,"16 HITCHINGS AVENUE,BROOKLYN,NY"
2999,"16A DUNNE PLACE,BROOKLYN,NY"
3000,"17 WALDANE COURT,BROOKLYN,NY"
3001,"20 BOGARDUS STREET,BROOKLYN,NY"
3002,"21 BOGARDUS STREET,BROOKLYN,NY"
3003,"22 BOGARDUS STREET,BROOKLYN,NY"
3004,"22 BOGARDUS STREET,BROOKLYN,NY"
3005,"2176 BATCHELDER STRET,BROOKLYN,NY"
3006,"2252 EAST 15 STREET,BROOKLYN,NY"
3007,"2261 EAST 28 STREET,BROOKLYN,NY"
3008,"2496 EAST 21 STREET,BROOKLYN,NY"
3009,"2627 EAST 22 STREET,BROOKLYN,NY"
3010,"2728 EAST 23,BROOKLYN,NY"
3011,"1224 DEMOND COURT,BROOKLYN,NY"
3012,"2378 EAST14TH STREET,BROOKLYN,NY"
3013,"2299 EAST 13 STREET,BROOKLYN,NY"
3014,"2427 E 29 STREET,BROOKLYN,NY"
3015,"2546 EAST 13 STREET,BROOKLYN,NY"
3016,"2600 EAST 21 STREET,BROOKLYN,NY"
3017,"2650 EAST 13 STREET,BROOKLYN,NY"
3018,"2680 E. 19,BROOKLYN,NY"
3019,"2717 EAST 28 STREET,BROOKLYN,NY"
3020,"2640 EAST 14 STREET,BROOKLYN,NY"
3021,"1916-1930 AVENUE X,BROOKLYN,NY"
3022,"2513 EAST 12 STREET,BROOKLYN,NY"
3023,"694A 6 AVENUE,BROOKLYN,NY"
3024,"650 FIFTH AVENUE,BROOKLYN,NY"
3025,"357 46 STREET,BROOKLYN,NY"
3026,"313 49 ST,BROOKLYN,NY"
3027,"5322 8 AVENUE,BROOKLYN,NY"
3028,"6002 4 AVENUE,BROOKLYN,NY"
3029,"5201 7 AVENUE,BROOKLYN,NY"
3030,"325A 21 STREET,BROOKLYN,NY"
3031,"329A 18 STREET,BROOKLYN,NY"
3032,"4912 7 AVENUE,BROOKLYN,NY"
3033,"744 39 STREET,BROOKLYN,NY"
3034,"5314 6 AVENUE,BROOKLYN,NY"
3035,"570 44 STREET,BROOKLYN,NY"
3036,"5008 7 AVENUE,BROOKLYN,NY"
3037,"420 64 STREET,BROOKLYN,NY"
3038,"3919 4 AVENUE,BROOKLYN,NY"
3039,"4816 8 AVENUE,BROOKLYN,NY"
3040,"5802 6 AVENUE,BROOKLYN,NY"
3041,"3901 7 AVENUE,BROOKLYN,NY"
3042,"274 21 STREET,BROOKLYN,NY"
3043,"5118 4 AVENUE,BROOKLYN,NY"
3044,"3902 7 AVENUE,BROOKLYN,NY"
3045,"617-639 62ND   STREET,BROOKLYN,NY"
3046,"969-975 GRAND STREET,BROOKLYN,NY"
3047,"265 NORTH 6 ST,BROOKLYN,NY"
3048,"130 NORTH FIRST STREET,BROOKLYN,NY"
3049,"125 NORTH 10 STREET,BROOKLYN,NY"
3050,"125 NORTH 10 STREET,BROOKLYN,NY"
3051,"125 NORTH 10 STREET,BROOKLYN,NY"
3052,"170 NORTH 11 STREET,BROOKLYN,NY"
3053,"214 NORTH 11 STREET,BROOKLYN,NY"
3054,"214 NORTH 11 STREET,BROOKLYN,NY"
3055,"214 NORTH 11 STREET,BROOKLYN,NY"
3056,"214 N 11 STREET,BROOKLYN,NY"
3057,"214 NORTH 11 STREET,BROOKLYN,NY"
3058,"172 NORTH 10 STREET,BROOKLYN,NY"
3059,"22 NORTH 6 STREET,BROOKLYN,NY"
3060,"1 NORTH PIER,BROOKLYN,NY"
3061,"1 NORTH PIER,BROOKLYN,NY"
3062,"1 NORTH PIER,BROOKLYN,NY"
3063,"1 NORTH PIER,BROOKLYN,NY"
3064,"1 NORTH PIER,BROOKLYN,NY"
3065,"1 NORTHSIDE PIERS,BROOKLYN,NY"
3066,"1 NORTH PIER,BROOKLYN,NY"
3067,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3068,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3069,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3070,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3071,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3072,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3073,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3074,"2 NORTHSIDE PIER,BROOKLYN,NY"
3075,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3076,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3077,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3078,"2 NORTHSIDE PIERS,BROOKLYN,NY"
3079,"150 NORTH 5 STREET,BROOKLYN,NY"
3080,"85-101 NORTH 3RD,BROOKLYN,NY"
3081,"85-101 NORTH 3RD,BROOKLYN,NY"
3082,"66 NORTH 1ST,BROOKLYN,NY"
3083,"223 NORTH 11 STREET,BROOKLYN,NY"
3084,"104-122 NORTH 12 STREET,BROOKLYN,NY"
3085,"92 NORTH 12,BROOKLYN,NY"
3086,"20 NORTH 12 STREET,BROOKLYN,NY"
3087,"135 NORTH 11 STREET,BROOKLYN,NY"
3088,"125 NORTH 10 STREET,BROOKLYN,NY"
