,addresses
157,"108 5 AVENUE,MANHATTAN,NY"
158,"16 WEST 19 STREET,MANHATTAN,NY"
159,"650 SIXTH AVENUE,MANHATTAN,NY"
160,"650 SIXTH AVENUE,MANHATTAN,NY"
161,"650 AVENUE OF THE AMER,MANHATTAN,NY"
162,"650 SIXTH AVENUE,MANHATTAN,NY"
163,"650 SIXTH AVENUE,MANHATTAN,NY"
164,"650 SIXTH AVENUE,MANHATTAN,NY"
165,"650 SIXTH AVENUE,MANHATTAN,NY"
166,"10 MADISON SQUARE WEST,MANHATTAN,NY"
167,"10 MADISON SQUARE WEST,MANHATTAN,NY"
168,"10 MADISON SQUARE WEST,MANHATTAN,NY"
169,"212 5 AVENUE,MANHATTAN,NY"
170,"212 5 AVENUE,MANHATTAN,NY"
171,"212 5 AVENUE,MANHATTAN,NY"
172,"212 FIFTH AVENUE,MANHATTAN,NY"
173,"212 5 AVENUE,MANHATTAN,NY"
174,"212 FIFTH AVENUE,MANHATTAN,NY"
175,"212 5 AVENUE,MANHATTAN,NY"
176,"212 FIFTH AVENUE,MANHATTAN,NY"
177,"212 FIFTH AVENUE,MANHATTAN,NY"
178,"212 FIFTH AVENUE,MANHATTAN,NY"
179,"212 FIFTH AVENUE,MANHATTAN,NY"
180,"212 FIFTH AVENUE,MANHATTAN,NY"
181,"212 FIFTH AVENUE,MANHATTAN,NY"
182,"212 FIFTH AVENUE,MANHATTAN,NY"
183,"212 FIFTH AVENUE,MANHATTAN,NY"
184,"212 FIFTH AVENUE,MANHATTAN,NY"
185,"212 5 AVENUE,MANHATTAN,NY"
186,"212 FIFTH AVENUE,MANHATTAN,NY"
187,"212 FIFTH AVENUE,MANHATTAN,NY"
188,"212 FIFTH AVENUE,MANHATTAN,NY"
189,"212 FIFTH AVENUE,MANHATTAN,NY"
190,"212 5 AVENUE,MANHATTAN,NY"
191,"212 FIFTH AVENUE,MANHATTAN,NY"
192,"212 FIFTH AVENUE,MANHATTAN,NY"
193,"212 FIFTH AVENUE,MANHATTAN,NY"
194,"212 FIFTH AVENUE,MANHATTAN,NY"
195,"141 FIFTH AVENUE,MANHATTAN,NY"
196,"225 FIFTH AVENUE,MANHATTAN,NY"
197,"225 FIFTH AVENUE,MANHATTAN,NY"
198,"225 FIFTH AVENUE,MANHATTAN,NY"
199,"225 5 AVENUE,MANHATTAN,NY"
200,"225 FIFTH AVENUE,MANHATTAN,NY"
201,"241 5 AVENUE,MANHATTAN,NY"
202,"241 FIFTH AVENUE,MANHATTAN,NY"
203,"34 WEST 17 STREET,MANHATTAN,NY"
204,"69 FIFTH AVENUE,MANHATTAN,NY"
205,"69 FIFTH AVENUE,MANHATTAN,NY"
206,"69 FIFTH AVENUE,MANHATTAN,NY"
207,"69 FIFTH AVENUE,MANHATTAN,NY"
208,"69 FIFTH AVENUE,MANHATTAN,NY"
209,"69 FIFTH AVENUE,MANHATTAN,NY"
210,"69 FIFTH AVENUE,MANHATTAN,NY"
211,"204 5 AVENUE,MANHATTAN,NY"
212,"240 EAST 28 STREET,MANHATTAN,NY"
213,"145 EAST 15 STREET,MANHATTAN,NY"
214,"130 EAST 18 STREET,MANHATTAN,NY"
215,"130 EAST 18,MANHATTAN,NY"
216,"230 3 AVENUE,MANHATTAN,NY"
217,"330 THIRD AVENUE,MANHATTAN,NY"
218,"330 THIRD AVENUE,MANHATTAN,NY"
219,"330 THIRD AVENUE,MANHATTAN,NY"
220,"330 THIRD AVENUE,MANHATTAN,NY"
221,"330 THIRD AVENUE,MANHATTAN,NY"
222,"330 THIRD AVENUE,MANHATTAN,NY"
223,"330 THIRD AVENUE,MANHATTAN,NY"
224,"330 THIRD AVENUE,MANHATTAN,NY"
225,"330 THIRD AVENUE,MANHATTAN,NY"
226,"330 THIRD AVENUE,MANHATTAN,NY"
227,"160 E 27,MANHATTAN,NY"
228,"230 EAST 15 STREET,MANHATTAN,NY"
229,"230 EAST 15 STREET,MANHATTAN,NY"
230,"200 EAST 16TH,MANHATTAN,NY"
231,"201 EAST 17 STREET,MANHATTAN,NY"
232,"205 THIRD AVENUE,MANHATTAN,NY"
233,"205 THIRD AVENUE,MANHATTAN,NY"
234,"205 THIRD AVENUE,MANHATTAN,NY"
235,"205 3 AVENUE,MANHATTAN,NY"
236,"205 THIRD AVENUE,MANHATTAN,NY"
237,"205 THIRD AVENUE,MANHATTAN,NY"
238,"205 THIRD AVENUE,MANHATTAN,NY"
239,"205 THIRD AVENUE,MANHATTAN,NY"
240,"205 THIRD AVENUE,MANHATTAN,NY"
241,"205 THIRD AVENUE,MANHATTAN,NY"
242,"211 E 18,MANHATTAN,NY"
243,"242 EAST 19TH,MANHATTAN,NY"
244,"201 EAST 21 STREET,MANHATTAN,NY"
245,"201 EAST 21 STREET,MANHATTAN,NY"
246,"201 EAST 21 STREET,MANHATTAN,NY"
247,"421 2 AVENUE,MANHATTAN,NY"
248,"305 SECOND AVENUE,MANHATTAN,NY"
249,"305 SECOND AVENUE,MANHATTAN,NY"
250,"305 SECOND AVENUE,MANHATTAN,NY"
251,"305 SECOND AVENUE,MANHATTAN,NY"
252,"305 SECOND AVENUE,MANHATTAN,NY"
253,"305 2 AVENUE,MANHATTAN,NY"
254,"305 SECOND AVENUE,MANHATTAN,NY"
255,"141 MAC DOUGAL STREET,MANHATTAN,NY"
256,"290 SIXTH AVENUE,MANHATTAN,NY"
257,"290 SIXTH AVENUE,MANHATTAN,NY"
258,"290 SIXTH AVENUE,MANHATTAN,NY"
259,"50 EAST 8TH,MANHATTAN,NY"
260,"50 EAST 8TH,MANHATTAN,NY"
261,"ONE FIFTH AVENUE,MANHATTAN,NY"
262,"1 FIFTH AVENUE,MANHATTAN,NY"
263,"1 FIFTH AVENUE,MANHATTAN,NY"
264,"1 FIFTH AVENUE,MANHATTAN,NY"
265,"1 FIFTH AVENUE,MANHATTAN,NY"
266,"1 5 AVENUE,MANHATTAN,NY"
267,"2 FIFTH AVENUE,MANHATTAN,NY"
268,"2 FIFTH AVENUE,MANHATTAN,NY"
269,"2 FIFTH AVENUE,MANHATTAN,NY"
270,"2 FIFTH AVENUE,MANHATTAN,NY"
271,"2 FIFTH AVENUE,MANHATTAN,NY"
272,"2 5 AVENUE,MANHATTAN,NY"
273,"2 FIFTH AVENUE,MANHATTAN,NY"
274,"2 FIFTH AVENUE,MANHATTAN,NY"
275,"2 FIFTH AVENUE,MANHATTAN,NY"
276,"2 5 AVENUE,MANHATTAN,NY"
277,"2 FIFTH AVENUE,MANHATTAN,NY"
278,"2 FIFTH AVENUE,MANHATTAN,NY"
279,"2 FIFTH AVENUE,MANHATTAN,NY"
280,"70 EAST 10 STREET,MANHATTAN,NY"
281,"59 FOURTH AVENUE,MANHATTAN,NY"
282,"111 FOURTH AVENUE,MANHATTAN,NY"
283,"111 FOURTH AVENUE,MANHATTAN,NY"
284,"111 FOURTH AVENUE,MANHATTAN,NY"
285,"111 FOURTH AVENUE,MANHATTAN,NY"
286,"40-50 EAST 10 STREET,MANHATTAN,NY"
287,"11 FIFTH AVENUE,MANHATTAN,NY"
288,"11 FIFTH AVENUE,MANHATTAN,NY"
289,"11 FIFTH AVENUE,MANHATTAN,NY"
290,"11 FIFTH AVENUE,MANHATTAN,NY"
291,"11 FIFTH AVENUE,MANHATTAN,NY"
292,"11 FIFTH AVENUE,MANHATTAN,NY"
293,"11 FIFTH AVENUE,MANHATTAN,NY"
294,"11 FIFTH AVENUE,MANHATTAN,NY"
295,"11 FIFTH AVENUE,MANHATTAN,NY"
296,"11 FIFTH AVENUE,MANHATTAN,NY"
297,"33 FIFTH AVENUE,MANHATTAN,NY"
298,"33 FIFTH AVENUE,MANHATTAN,NY"
299,"33 FIFTH AVENUE,MANHATTAN,NY"
300,"33 FIFTH AVENUE,MANHATTAN,NY"
301,"33 FIFTH AVE,MANHATTAN,NY"
302,"26 EAST 10 STREET,MANHATTAN,NY"
303,"39 FIFTH AVENUE,MANHATTAN,NY"
304,"41 FIFTH AVENUE,MANHATTAN,NY"
305,"41 FIFTH AVENUE,MANHATTAN,NY"
306,"41 5 AVENUE,MANHATTAN,NY"
307,"41 FIFTH AVENUE,MANHATTAN,NY"
308,"41 FIFTH AVENUE,MANHATTAN,NY"
309,"41 FIFTH AVENUE,MANHATTAN,NY"
310,"43 FIFTH AVENUE,MANHATTAN,NY"
311,"43 5 AVENUE,MANHATTAN,NY"
312,"45 FIFTH AVENUE,MANHATTAN,NY"
313,"51 FIFTH AVENUE,MANHATTAN,NY"
314,"30 FIFTH AVENUE,MANHATTAN,NY"
315,"30 FIFTH AVENUE,MANHATTAN,NY"
316,"30 FIFTH AVENUE,MANHATTAN,NY"
317,"30 FIFTH AVENUE,MANHATTAN,NY"
318,"30 FIFTH AVENUE,MANHATTAN,NY"
319,"30 FIFTH AVENUE,MANHATTAN,NY"
320,"30 FIFTH AVENUE,MANHATTAN,NY"
321,"30 FIFTH AVENUE,MANHATTAN,NY"
322,"30 FIFTH AVENUE,MANHATTAN,NY"
323,"30 FIFTH AVENUE,MANHATTAN,NY"
324,"28 5 AVENUE,MANHATTAN,NY"
325,"30 FIFTH AVENUE,MANHATTAN,NY"
326,"24 FIFTH AVENUE,MANHATTAN,NY"
327,"24 FIFTH AVENUE,MANHATTAN,NY"
328,"24 FIFTH AVENUE,MANHATTAN,NY"
329,"24 FIFTH AVENUE,MANHATTAN,NY"
330,"24 FIFTH AVENUE,MANHATTAN,NY"
331,"24 FIFTH AVENUE,MANHATTAN,NY"
332,"24 FIFTH AVE,MANHATTAN,NY"
333,"24 FIFTH AVENUE,MANHATTAN,NY"
334,"24 FIFTH AVENUE,MANHATTAN,NY"
335,"40 FIFTH AVENUE,MANHATTAN,NY"
336,"40 FIFTH AVENUE,MANHATTAN,NY"
337,"74 FIFTH AVENUE,MANHATTAN,NY"
338,"74 FIFTH AVENUE,MANHATTAN,NY"
339,"115 FOURTH AVENUE,MANHATTAN,NY"
340,"115 FOURTH AVENUE,MANHATTAN,NY"
341,"115 4 AVENUE,MANHATTAN,NY"
342,"115 4 AVENUE,MANHATTAN,NY"
343,"110 THIRD AVENUE,MANHATTAN,NY"
344,"110 3 AVENUE,MANHATTAN,NY"
345,"110 3 AVENUE,MANHATTAN,NY"
346,"110 THIRD AVENUE,MANHATTAN,NY"
347,"110 3 AVENUE,MANHATTAN,NY"
348,"25 FIFTH AVENUE,MANHATTAN,NY"
349,"25 FIFTH AVENUE,MANHATTAN,NY"
350,"25 5 AVENUE,MANHATTAN,NY"
351,"25 FIFTH AVENUE,MANHATTAN,NY"
352,"25 FIFTH AVENUE,MANHATTAN,NY"
353,"25 5 AVENUE,MANHATTAN,NY"
354,"25 FIFTH AVENUE,MANHATTAN,NY"
355,"25 FIFTH AVENUE,MANHATTAN,NY"
356,"8 EAST 12TH,MANHATTAN,NY"
357,"40 EAST 9TH,MANHATTAN,NY"
358,"63 EAST 9TH,MANHATTAN,NY"
359,"34-42 W 14 STREET,MANHATTAN,NY"
360,"61 4 AVENUE,MANHATTAN,NY"
361,"62 3 AVENUE,MANHATTAN,NY"
362,"66 3 AVENUE,MANHATTAN,NY"
363,"496 LA GUARDIA PLACE,MANHATTAN,NY"
364,"2 GROVE COURT,MANHATTAN,NY"
365,"2 GROVE COURT,MANHATTAN,NY"
366,"21 EIGHTH AVENUE,MANHATTAN,NY"
367,"471 AVENUE OF THE AMERIC,MANHATTAN,NY"
368,"211 WEST 10 STREET,MANHATTAN,NY"
369,"373 BLEEKER,MANHATTAN,NY"
370,"101 WEST 12TH,MANHATTAN,NY"
371,"175 WEST 13TH,MANHATTAN,NY"
372,"1 MORTON SQUARE,MANHATTAN,NY"
373,"1 MORTON SQUARE,MANHATTAN,NY"
374,"1 MORTON SQUARE,MANHATTAN,NY"
375,"1 MORTON SQUARE,MANHATTAN,NY"
376,"6 MORTON SQUARE,MANHATTAN,NY"
377,"137 WEST 11,MANHATTAN,NY"
378,"145 WEST 11,MANHATTAN,NY"
379,"145 WEST 11,MANHATTAN,NY"
380,"145 WEST 11TH,MANHATTAN,NY"
381,"155 WEST 11,MANHATTAN,NY"
382,"155 WEST 11,MANHATTAN,NY"
383,"155 WEST 11,MANHATTAN,NY"
384,"155 WEST 11,MANHATTAN,NY"
385,"155 WEST 11,MANHATTAN,NY"
386,"155 WEST 11,MANHATTAN,NY"
387,"155 WEST 11,MANHATTAN,NY"
388,"155 WEST 11TH,MANHATTAN,NY"
389,"155 WEST 11,MANHATTAN,NY"
390,"155 WEST 11,MANHATTAN,NY"
391,"155 WEST 11,MANHATTAN,NY"
392,"155 WEST 11TH,MANHATTAN,NY"
393,"155 WEST 11TH,MANHATTAN,NY"
394,"155 WEST 11TH,MANHATTAN,NY"
395,"155 WEST 11TH,MANHATTAN,NY"
396,"155 WEST 11,MANHATTAN,NY"
397,"155 WEST 11TH,MANHATTAN,NY"
398,"155 WEST 11TH,MANHATTAN,NY"
399,"155 WEST 11,MANHATTAN,NY"
400,"155 WEST 11,MANHATTAN,NY"
401,"155 WEST 11TH,MANHATTAN,NY"
402,"155 WEST 11,MANHATTAN,NY"
403,"155 WEST 11,MANHATTAN,NY"
404,"155 WEST 11,MANHATTAN,NY"
405,"155 WEST 11,MANHATTAN,NY"
406,"155 WEST 11TH,MANHATTAN,NY"
407,"155 WEST 11,MANHATTAN,NY"
408,"155 WEST 11,MANHATTAN,NY"
409,"155 WEST 11,MANHATTAN,NY"
410,"155 WEST 11,MANHATTAN,NY"
411,"160 WEST 12,MANHATTAN,NY"
