SALE PRICE,address,latitude,longitude,neighborhood,burough,zip code,GROSS SQUARE FEET,land sq feet
320000,"2566 HOLLERS AVENUE,BRONX,NY",40.88817205,-73.81746139,BAYCHESTER,BRONX,10475,707,5000
575000,"3901 ELY AVENUE,BRONX,NY",40.8881607,-73.84493969,BAYCHESTER,BRONX,10466,1890,2640
579000,"808 EAST 227TH STREET,BRONX,NY",40.888010799999996,-73.85649023,WILLIAMSBRIDGE,BRONX,10466,1737,1353
427000,"2292 LIGHT STREET,BRONX,NY",40.8877436,-73.82868217,BAYCHESTER,BRONX,10466,1374,4200
355000,"3712 SECOR AVENUE,BRONX,NY",40.8874566,-73.8321531,BAYCHESTER,BRONX,10466,1072,6289
325000,"3637 PROVOST AVENUE,BRONX,NY",40.8873998,-73.8285681,BAYCHESTER,BRONX,10466,1024,2780
360000,"3707 HARPER AVE,BRONX,NY",40.8873333,-73.83355548,BAYCHESTER,BRONX,10466,1084,2500
280000,"3698 SECOR AVENUE,BRONX,NY",40.886851899999996,-73.83222967,BAYCHESTER,BRONX,10466,640,2175
2500000,"4139 BOSTON ROAD,BRONX,NY",40.88680315,-73.82687652,BAYCHESTER,BRONX,10466,3306,5000
569000,"934 EAST 226TH STREET,BRONX,NY",40.88602445,-73.85287991,WILLIAMSBRIDGE,BRONX,10466,1485,2725
570000,"719 EAST 222ND STREET,BRONX,NY",40.8856725,-73.86079695,WILLIAMSBRIDGE,BRONX,10467,1872,2295
715000,"3611 IRWIN AVENUE,BRONX,NY",40.8856719,-73.90449672,KINGSBRIDGE/JEROME PARK,BRONX,10463,1978,3908
675000,"3831 PUTNAM AVENUE WEST,BRONX,NY",40.8852661,-73.8985782,KINGSBRIDGE/JEROME PARK,BRONX,10463,1920,3137
572000,"3959 PAULDING AVENUE,BRONX,NY",40.8848496,-73.85235555,WILLIAMSBRIDGE,BRONX,10466,1552,2650
835000,"3232 OXFORD AVENUE,BRONX,NY",40.88484395,-73.90906158,RIVERDALE,BRONX,10463,1470,5000
1375000,"727 WEST 231ST STREET,BRONX,NY",40.8846635,-73.91807196,RIVERDALE,BRONX,10463,3349,9800
880000,"296 W 236TH ST,BRONX,NY",40.8845426,-73.90408075,KINGSBRIDGE/JEROME PARK,BRONX,10463,2437,2500
736000,"1450 ROOSEVELT AVENUE,BRONX,NY",40.8842565,-73.79657436,CITY ISLAND-PELHAM STRIP,BRONX,10803,1420,2940
1160000,"3216 JOHNSON AVENUE,BRONX,NY",40.88420605,-73.91016867,RIVERDALE,BRONX,10463,936,9035
4950000,"3203 OXFORD AVENUE,BRONX,NY",40.8841494,-73.90972015,RIVERDALE,BRONX,10463,6260,2375
650000,"3900 ORLOFF AVENUE,BRONX,NY",40.8841473,-73.89508499,KINGSBRIDGE/JEROME PARK,BRONX,10463,1995,4520
2200000,"710 EAST 220TH STREET,BRONX,NY",40.88394295,-73.86204465,WILLIAMSBRIDGE,BRONX,10467,4276,2862
995000,"103 VAN CORTLANDT AVE W,BRONX,NY",40.88393485,-73.89290708,KINGSBRIDGE/JEROME PARK,BRONX,10463,2808,4493
2000000,"3101 HENRY HUDSON PKWY W,BRONX,NY",40.8839128,-73.9156297,RIVERDALE,BRONX,10463,3505,13804
1130000,"3135 ARLINGTON AVE,BRONX,NY",40.883898200000004,-73.9127794,RIVERDALE,BRONX,10463,1935,4918
570000,"3446 CORLEAR AVENUE,BRONX,NY",40.88370020000001,-73.90365422,KINGSBRIDGE/JEROME PARK,BRONX,10463,1899,1692
985000,"674 WEST 231ST,BRONX,NY",40.8836265,-73.91619334,RIVERDALE,BRONX,10463,2338,2738
1850000,"3882 CANNON PLACE,BRONX,NY",40.88361995,-73.89448795,KINGSBRIDGE/JEROME PARK,BRONX,10463,5847,7875
700000,"2236 HOLLERS AVENUE,BRONX,NY",40.883460299999996,-73.82974313,BAYCHESTER,BRONX,10475,1216,5000
2190000,"3436 KINGSBRIDGE AVENUE,BRONX,NY",40.8832533,-73.9030258,KINGSBRIDGE/JEROME PARK,BRONX,10463,4180,13950
548000,"3829 CANNON PLACE,BRONX,NY",40.88315915,-73.89632195,KINGSBRIDGE/JEROME PARK,BRONX,10463,1360,1684
559000,"715 EAST 218TH STREET,BRONX,NY",40.88279055,-73.86239182,WILLIAMSBRIDGE,BRONX,10467,1387,2856
572000,"3222 IRWIN AVENUE,BRONX,NY",40.8827535,-73.90726196,KINGSBRIDGE/JEROME PARK,BRONX,10463,1782,1800
629000,"932 EAST 221ST STREET,BRONX,NY",40.882661600000006,-73.855271,WILLIAMSBRIDGE,BRONX,10469,1280,2188
450000,"3538 BAYCHESTER AVENUE,BRONX,NY",40.88255415,-73.8391554,BAYCHESTER,BRONX,10466,968,2900
495000,"3721 WILLETT AVENUE,BRONX,NY",40.88245635,-73.86527265,WILLIAMSBRIDGE,BRONX,10467,1648,2400
1190000,"3034 ARLINGTON AVENUE,BRONX,NY",40.8824412,-73.91301161,RIVERDALE,BRONX,10463,2068,5000
499000,"1030 EAST 222ND STREET,BRONX,NY",40.882431,-73.85228175,WILLIAMSBRIDGE,BRONX,10469,1560,2000
419700,"1117 EAST 222ND ST,BRONX,NY",40.8820723,-73.84970245,BAYCHESTER,BRONX,10469,920,3900
499000,"3651 OLINVILLE AVENUE,BRONX,NY",40.88127985,-73.86674047,WILLIAMSBRIDGE,BRONX,10467,1262,4750
475000,"819 EAST 217TH STREET,BRONX,NY",40.881164500000004,-73.8599128,WILLIAMSBRIDGE,BRONX,10467,1553,3808
430000,"3325 DELAVALL AVENUE,BRONX,NY",40.881040999999996,-73.82725549,CO-OP CITY,BRONX,10475,1152,4375
960000,"2751 NETHERLAND AVENUE,BRONX,NY",40.88083445,-73.9133872,RIVERDALE,BRONX,10463,2210,6250
545000,"947 EAST 218TH STREET,BRONX,NY",40.8806864,-73.85570747,WILLIAMSBRIDGE,BRONX,10469,1764,2629
1055000,"2748 ARLINGTON AVENUE,BRONX,NY",40.88066725,-73.91429749,RIVERDALE,BRONX,10463,2952,7480
3340000,"871 E.217TH ST,BRONX,NY",40.8805982,-73.85815026,WILLIAMSBRIDGE,BRONX,10467,1340,5713
460000,"1260 EAST 223RD STREET,BRONX,NY",40.88051295,-73.84490601,BAYCHESTER,BRONX,10466,1200,4297
599000,"3438 EDSON AVENUE,BRONX,NY",40.879997499999995,-73.83891809,BAYCHESTER,BRONX,10469,1051,2020
735000,"3638 HOLLAND AVENUE,BRONX,NY",40.87972025,-73.86329953,WILLIAMSBRIDGE,BRONX,10467,2160,2256
565000,"3320 FT INDEPENDENCE ST,BRONX,NY",40.87924945,-73.89945704,KINGSBRIDGE/JEROME PARK,BRONX,10463,1125,1400
315000,"3338 FORT INDEPENDENCE ST,BRONX,NY",40.87899855,-73.89944261,KINGSBRIDGE/JEROME PARK,BRONX,10463,948,297
570000,"1432 NEEDHAM AVE,BRONX,NY",40.87898985,-73.84993495,BAYCHESTER,BRONX,10469,1560,1900
590000,"3551 BOSTON ROAD,BRONX,NY",40.87824065,-73.84470625,BAYCHESTER,BRONX,10469,1412,6750
600000,"3548 HOLLAND AVE,BRONX,NY",40.8780802,-73.863985,WILLIAMSBRIDGE,BRONX,10467,1344,2375
565000,"3085 HEATH AVENUE,BRONX,NY",40.87802765,-73.90158821,KINGSBRIDGE/JEROME PARK,BRONX,10463,1430,2110
319000,"3554 CARLISLE PLACE,BRONX,NY",40.87801435,-73.86284122,WILLIAMSBRIDGE,BRONX,10467,1050,2500
569000,"3524 BARNES AVE,BRONX,NY",40.8775208,-73.86138423,WILLIAMSBRIDGE,BRONX,10467,1742,2335
575000,"3309 PERRY AVE,BRONX,NY",40.8773872,-73.87537221,BEDFORD PARK/NORWOOD,BRONX,10467,1296,2117
579000,"3358 TIEMANN AVENUE,BRONX,NY",40.87711229999999,-73.8431941,BAYCHESTER,BRONX,10469,1782,2798
375000,"3443 OLINVILLE AVENUE,BRONX,NY",40.8765987,-73.86829098,BRONXDALE,BRONX,10467,1224,1944
369000,"3317 PARKSIDE PLACE,BRONX,NY",40.87655205,-73.87274529999999,BEDFORD PARK/NORWOOD,BRONX,10467,987,4750
825000,"3055 SEDGWICK AVE,BRONX,NY",40.87643715,-73.90026022,KINGSBRIDGE/JEROME PARK,BRONX,10468,2000,4950
600000,"1028 EAST 213TH STREET,BRONX,NY",40.8764277,-73.85593349,WILLIAMSBRIDGE,BRONX,10469,1920,2928
635000,"49 MARBLE HILL AVENUE,MANHATTAN,NY",40.87575770000001,-73.90996565,INWOOD,MANHATTAN,10463,1224,1219
620000,"3332 EASTCHESTER ROAD,BRONX,NY",40.8756418,-73.84524628,BAYCHESTER,BRONX,10469,1762,2300
420000,"1611 GIVAN AVENUE,BRONX,NY",40.8753435,-73.84378254,BAYCHESTER,BRONX,10469,1096,2701
529000,"3320 CORSA AVENUE,BRONX,NY",40.8751287,-73.84614135,BAYCHESTER,BRONX,10469,1722,2642
756822,"3154 GRACE AVENUE,BRONX,NY",40.8750514,-73.83714007,BAYCHESTER,BRONX,10469,1665,1900
835000,"3112 JEROME AVENUE,BRONX,NY",40.87491555,-73.88830828,BEDFORD PARK/NORWOOD,BRONX,10468,2500,2500
459202,"3391 CAPUCHIN WAY,BRONX,NY",40.87468575,-73.86397627,BRONXDALE,BRONX,10467,1160,1900
