,sale price,address,latitude,longitude,neighborhood,burough,zip code,gross sq feet,land sq feet
672,1450000,"749 60TH STREET, SUNSET PARK, BROOKLYN, NEW YORK, NY, 11220",40.6362467,-74.0102913491528,SUNSET PARK,BROOKLYN,11220,3200,2504
673,440000,"106-43 SUTPHIN BOULEVARD, SOUTH JAMAICA, QUEENS, NEW YORK, NY, 11435",40.69436765,-73.80149455,SOUTH JAMAICA,QUEENS,11435,1252,2300
674,565000,"219-70 64TH   AVENUE, OAKLAND GARDENS, QUEENS, NEW YORK, NY, 11364",40.7461839,-73.756726879733,OAKLAND GARDENS,QUEENS,11364, -  , -  
675,876929,"172 WILSON AVENUE, BUSHWICK, BROOKLYN, NEW YORK, NY, 11237",40.6996864,-73.9243038,BUSHWICK,BROOKLYN,11237,0,0
676,1700000,"21-45 44TH   DRIVE, LONG ISLAND CITY, QUEENS, NEW YORK, NY, 11101",40.7474255,-73.9438074,LONG ISLAND CITY,QUEENS,11101, -  , -  
678,1820000,"124 ECKFORD STREET, GREENPOINT, BROOKLYN, NEW YORK, NY, 11222",40.72384175,-73.9486162053344,GREENPOINT,BROOKLYN,11222,1656,2500
683,500000,"1186 BAY STREET, ROSEBANK, STATEN ISLAND, NEW YORK, NY, 10305",40.61423535,-74.0664850686603,ROSEBANK,STATEN ISLAND,10305,2240,2500
684,1552831,"465 PACIFIC STREET, BOERUM HILL, BROOKLYN, NEW YORK, NY, 11217",40.685612,-73.9824221037736,BOERUM HILL,BROOKLYN,11217,0,0
686,865000,"1327 FLATBUSH AVENUE, FLATBUSH-CENTRAL, BROOKLYN, NEW YORK, NY, 11226",40.63884475,-73.9537096892936,FLATBUSH-CENTRAL,BROOKLYN,11226,3075,1452
687,733891,"131-05 40TH   ROAD, FLUSHING-NORTH, QUEENS, NEW YORK, NY, 11354",40.7560827,-73.8357912,FLUSHING-NORTH,QUEENS,11354, -  , -  
